"price"	"totsp"	"livesp"	"kitsp"	"dist"	"metrdist"
169	70	44	8	8	5
94	64	45	7	12.5	12
136	78	46	10	12.5	5
88	55	38	6	6.5	10
130	81	56	9	6	7
150	87	55	10	12	3
84	58	43	5	12	15
74	60	43	6	13.5	5
138	77	45	10	13	5
125	62	42	10	12	10
105	57	40	6	4.5	5
138	70	45	8	10.5	10
129	86	55	10	10.5	10
120	56	42	6	12	5
95	64	39	8	12	15
82	56	39	5	10.5	5
74	51	35	6	13.5	10
110	83	47	10	17	10
87	60	43	6	12	7
190	81	46	12	12	5
90	58	43	6	17	10
152	79	53	8	9	3
120	74	40	12	12.7	7
195	83	55	10	4.5	3
144	80	51	10	13.5	10
149	78	48	13	4.5	5
140	56	40	5	9	5
105	57	44	6	9	5
185	73	45	8	3	2
115	78	54	8	11.5	10
115	74	45	10	13	15
106	58	44	6	7	10
92	64	39	8	12	7
105	56	42	6	3	15
120	82	44	11	12.7	12
52	86	46	9	12	10
169	95	58	14	9	7
225	80	53	9	7	5
94	59	43	5	14.5	5
99	76	45	10	12	10
86	51	35	6	17	10
177	80	50	9	4.5	2
113	75	45	10	12	7
110	76	46	10	13	7
145	78	50	10	12	3
90	56	41	5	6	15
199	127	62	20	13.5	10
372	158	80	20	10.5	10
95	58	42	6	7.5	15
78	51	34	6	13.5	10
135	84	45	11	12	10
100	80	45	12	12.7	15
153	76	46	10	9	5
95	65	47	9	13.5	7
103	60	43	6	12.5	5
114	80	45	13	12	7
113	85	46	10	12	15
108	80	52	10	12	10
107	74	44	11	13	5
100	77	52	9	10.5	15
106	76	43	12	13	5
84	60	44	6	13.5	7
139	73	51	9	7.5	10
106	76	46	10	13	5
124	78	55	8	13.5	10
112	65	40	8	17	5
110	65	43	7	12	10
80	60	44	6	13.5	10
115	58	41	5	7.5	7
110	83	47	10	17	10
138	68	46	8	9	10
50	63	47	7	12	20
132	77	43	8	12.5	5
80	58	43	6	10	10
88	59	44	6	13.5	10
194	106	60	17	9	5
130	78	54	8	7.5	10
86	50	34	6	12	10
128	70	50	8	5	5
155	85	53	7	4.5	10
270	105	74	18	5	1
85	60	43	6	14.5	6
135	76	44	10	12.7	2
200	122	68	12	10	5
90	51	35	6	7	3
133	65	47	8	12.5	2
103	69	44	9	14.5	10
89	61	44	6	12.5	10
81	56	39	6	11.5	10
106	58	42	6	12	5
166	77	45	11	10.5	15
78	55	37	6	11.5	2
110	77	45	10	12	10
120	74	44	10	12.7	10
100	80	51	10	13.5	10
127	76	42	10	13.5	10
150	75	46	11	9	15
99	79	62	6	17	2
118	67	44	8	6	10
120	63	43	9	12	1
85	64	45	7	15.5	10
167	78	54	8	9	10
105	58	44	5	17	2
130	56	41	6	9	5
125	80	45	13	13	10
86	59	43	6	17	5
105	60	41	8	4.5	10
118	68	49	11	7.5	7
107	75	44	8	12	10
100	65	46	6	15.5	7
195	83	55	9	9	3
120	66	40	19	7.5	10
95	60	43	6	14.5	10
110	58	43	6	14.5	10
80	55	41	5	11.5	3
97	75	45	10	13	5
92	63	39	8	15.5	5
130	75	44	8	12.7	3
235	92	52	15	3.5	3
93	60	38	8	12	5
95	82	48	8	13	10
115	77	46	10	12.7	7
140	76	44	10	12	2
92	82	48	8	13	12
89	60	44	6	14.5	7
230	103	51	14	14.5	15
95	64	40	8	15.5	15
156	83	55	9	10.5	10
135	77	46	10	12.7	2
125	78	60	11	14.5	10
122	74	50	8	10.5	10
140	85	52	11	9	10
95	64	45	6	14.5	10
105	65	39	11	12	5
150	78	44	8	13.5	1
136	74	45	10	13.5	5
170	80	48	9	14.5	7
105	75	45	10	12	7
125	82	52	12	13.5	10
73	61	41	6	13	10
93	78	46	10	12	15
95	64	45	7	12.5	10
225	101	65	15	10.5	20
108	65	40	8	17	5
92	60	45	6	9	7
90	57	38	6	7.5	6
145	85	54	11	8	10
93	67	47	6	12	5
160	80	56	9	12	5
93	62	37	8	12.5	10
90	57	43	6	12	5
79	55	40	6	10.5	10
95	73	43	11	12.7	10
110	75	52	9	7.5	10
125	66	44	9	12.5	15
299	99	65	11	9	10
127	77	46	10	12.5	10
112	75	45	10	12	7
84	58	43	5	12	15
195	110	55	11	12	1
170	81	60	13	13	5
95	67	45	9	13.5	10
450	145	82	14	4.5	3
160	85	56	12	6.5	10
165	78	46	10	5	10
80	56	38	6	7	10
125	78	50	9	13.5	15
120	77	44	10	13.5	5
226	82	52	10	3	3
105	66	48	8	12	1
120	66	43	10	9	10
150	77	45	10	5	10
103	77	46	11	13	5
115	57	42	6	10.5	4
140	87	57	7	10.5	3
185	80	53	9	7.5	15
120	80	50	10	7	7
82	57	46	6	12	10
130	74	53	7	4.5	7
110	70	42	10	14.5	7
90	61	49	6	12	10
185	108	62	12	13.5	10
146	80	46	10	7.5	10
105	68	46	8	12	15
193	100	56	12	12	10
75	51	34	6	9	5
138	65	47	9	5	10
115	63	40	8	12.5	10
93	59	44	6	7	5
123	83	50	11	12.7	15
120	82	53	9	11.5	10
90	66	43	6	15.5	5
86	56	39	6	12.5	10
103	64	40	8	17	5
85	59	43	6	13.5	15
123	85	51	10	12.7	3
110	69	44	10	12	5
88	60	44	10	12	10
116	75	46	10	13.5	10
119	71	52	8	8	10
130	80	45	13	12	5
85	55	40	6	11	5
93	79	45	10	13	7
127	79	45	13	12	3
143	77	42	10	6	5
105	77	46	8	12	15
177	74	45	8	5	15
73	54	37	6	14.5	10
145	74	45	11	17	10
99	72	50	9	7.5	10
91	60	44	6	12	10
122	68	44	8	10.5	5
147	74	49	9	7.5	10
84	76	45	10	17	10
73	51	34	6	7	7
85	58	39	6	10	7
135	68	46	8	12.5	7
116	75	44	13	12	10
136	76	44	10	14.5	9
88	56	36	6	17	10
153	87	55	10	6.5	5
135	74	44	10	10.5	7
135	74	51	9	10.5	7
100	68	53	6	12	10
115	66	37	7	11	7
120	69	40	9	13.5	15
149	84	46	10	13.5	7
98	56	33	6	8	10
85	60	44	6	7	7
169	80	50	8	10	5
100	55	38	6	3.5	5
125	64	44	9	12	12
95	55	35	8	7.5	7
114	75	44	10	13	2
105	78	50	8	9	10
125	75	53	8	11	3
100	65	39	9	17	10
93	64	41	7	14.5	3
165	99	70	9	7.5	7
72	52	35	6	13.5	10
125	78	52	7	11	7
250	74	47	10	3	5
165	87	51	12	12.7	6
148	84	52	8	6.5	3
130	81	49	9	13	10
148	74	51	9	7.5	10
123	79	45	13	9	20
149	77	45	9	12	5
97	55	35	6	9	10
80	50	34	6	12	5
100	58	42	5	12	10
105	75	45	10	12	5
80	52	36	6	10.5	15
120	100	63	9	13	7
78	59	42	6	12.5	10
209	90	57	8	10.5	2
190	81	51	14	9	3
88	51	35	6	10.5	3
135	85	53	9	10.5	7
185	90	54	13	7.5	7
299	100	65	11	9	10
111	81	45	9	14.5	10
102	65	44	7	13.5	10
94	65	45	7	14.5	10
165	79	53	9	8	15
164	90	52	13	10	3
110	63	45	7	13.5	10
137	78	51	9	6	15
97	57	42	6	13.5	5
155	80	46	13	12	15
153	75	45	10	7	15
132	88	55	14	17	5
110	74	45	10	12.7	7
103	63	38	8	10.5	10
79	49	33	6	14.5	10
200	121	71	12	10	3
85	59	44	6	9	5
108	66	43	7	17	5
125	81	56	9	6	5
145	90	55	10	9	7
250	74	56	8	4.5	7
140	78	46	11	12	5
160	79	51	12	3	8
122	96	51	12	13.5	10
100	63	42	7	13.5	15
87	55	38	5	6.5	5
92	69	47	6	12	10
150	77	42	8	6	15
150	112	64	16	14.5	5
88	61	42	6	12.5	5
100	78	45	10	13	7
92	64	38	8	10.5	15
112	76	54	8	10.5	15
90	65	45	7	12	7
140	85	50	8	6.5	2
100	75	45	10	13	5
83	58	38	6	12.5	10
115	72	50	8	10.5	10
92	68	53	6	13	10
110	65	41	11	12.5	15
103	64	45	6	17	5
165	78	47	9	5	10
165	89	57	9	7	5
371	128	70	18	7	5
85	60	38	6	17	7
95	65	39	8	12	15
141	113	58	13	13.5	10
113	77	50	8	12.5	15
125	73	52	8	11	10
108	64	40	9	12	10
84	59	45	5	10	15
170	71	47	8	7.5	10
112	72	51	8	6.5	5
131	76	45	10	12	7
110	77	46	9	13	5
135	79	48	9	10.5	5
132	69	44	8	8	10
135	100	50	10	15.5	10
95	63	39	8	14.5	15
140	77	45	10	10	5
120	77	45	10	13	10
115	68	44	9	12	7
165	96	58	14	7	5
99	66	39	8	17	10
192	123	68	16	14.5	10
128	75	45	10	17	3
105	63	44	7	17	3
133	83	46	12	13.5	10
96	64	41	9	13.5	12
168	84	54	8	7.5	10
150	78	45	10	14.5	10
135	84	55	11	3	15
85	65	43	10	12	5
85	57	37	5	12	7
138	86	50	10	13.5	10
87	57	45	6	12	15
115	80	48	11	12.7	5
117	80	44	13	10.5	10
154	95	51	11	6.5	3
84	60	43	6	12	10
160	114	67	15	14.5	10
93	61	43	6	14.5	7
130	77	47	11	11	7
100	70	44	8	15.5	7
135	78	44	11	12.7	10
84	59	38	6	7	10
105	66	44	7	3.5	10
155	75	46	10	12	5
120	76	45	10	13	10
105	60	35	8	11	5
75	53	35	7	11.5	5
110	77	46	10	6	10
280	108	65	14	14.5	15
115	85	52	10	12	10
78	57	37	6	13.5	10
227	134	70	16	9	5
86	56	42	5	6.5	5
106	70	43	10	12.7	10
93	66	39	8	14.5	15
112	79	45	8	11.5	2
93	64	45	7	13.5	7
120	74	45	10	13	15
92	60	41	6	14.5	7
220	81	46	13	9	7
107	66	42	9	8	7
115	62	38	9	17	7
83	61	38	6	13	10
140	66	47	6	4.5	2
105	64	45	6	13.5	7
120	57	43	6	8	5
88	64	46	7	17	15
115	76	40	11	12.7	10
140	70	45	10	9	10
149	94	57	8	10.5	15
120	75	43	10	17	10
170	92	62	18	6	7
105	73	49	8	11.5	5
189	86	55	10	9	10
86	61	42	6	12	7
126	80	40	14	12	10
85	59	40	6	10	5
140	82	47	11	12.5	10
104	84	52	11	13	5
108	66	45	10	12	5
84	60	45	6	13.5	7
90	55	35	6	14.5	5
87	61	43	6	12	15
115	71	42	10	12	5
78	58	44	6	7	7
120	80	47	9	13.5	10
98	74	44	10	12	15
152	81	54	8	7.5	12
105	82	48	8	13	10
158	78	48	12	9	4
87	58	33	5	11.5	5
150	108	56	15	11	5
109	79	45	13	14.5	5
158	64	44	9	7	3
160	86	51	8	12	2
80	56	37	6	10	1
115	66	38	7	11	7
260	70	45	8	8	7
90	56	40	5	12.5	5
132	76	43	8	12.5	5
84	59	46	6	10	15
112	63	35	8	11	7
120	77	43	8	10.5	10
115	76	45	10	12	15
165	74	41	9	6.5	5
125	77	46	10	10.5	15
103	67	43	9	13.5	10
130	72	47	10	13.5	7
129	59	41	6	9	5
80	52	34	6	17	10
190	84	55	9	4.5	5
130	72	42	9	12	5
86	56	42	5	6.5	5
190	106	58	24	9	5
132	84	52	11	12.7	20
170	80	45	13	12	10
118	78	52	9	11	5
78	63	47	6	13.5	5
77	56	38	6	13.5	10
77	50	34	6	13.5	2
105	75	45	10	14.5	10
150	76	45	10	12	5
143	75	45	9	10.5	7
350	113	85	20	9	10
110	70	40	9	13.5	5
159	107	64	13	14.5	10
135	75	46	10	7	12
89	60	43	6	15.5	5
170	76	50	10	5	5
89	55	37	6	10.5	10
115	64	44	7	12	5
110	77	40	11	12.7	15
84	59	44	6	12	10
130	78	46	10	14.5	7
87	90	57	13	14.5	15
79	60	44	6	15.5	15
115	60	39	6	4.5	10
95	67	41	9	13.5	7
98	64	42	7	14.5	5
83	64	42	9	17	10
130	82	54	8	3.5	10
105	56	43	6	3	10
124	77	44	10	14.5	5
107	65	39	8	12.5	20
180	83	53	8	12	5
110	76	45	10	13	10
157	75	53	10	12.5	5
210	105	55	14	17	5
95	64	45	6	12.5	10
371	120	59	15	7	10
145	73	45	7	9	1
85	58	43	5	7	10
87	58	40	6	6.5	5
118	84	48	9	12.7	5
86	58	38	8	11.5	7
157	80	48	9	7	5
190	73	54	9	3	10
85	65	43	5	7.5	5
140	80	51	7	7.5	7
85	55	42	6	14.5	5
78	58	37	6	12	10
185	80	53	9	7.5	10
162	75	52	12	3.5	5
164	90	52	13	10	3
210	81	48	10	3	5
99	63	38	8	10.5	5
125	75	52	9	10.5	5
85	60	43	6	12	5
225	92	48	13	9	1
85	61	45	6	13.5	15
112	77	45	10	17	10
135	83	53	9	13.5	10
235	101	59	15	8	7
147	76	46	10	12	3
93	55	39	6	8	10
105	75	46	10	13	7
105	69	43	6	17	5
185	95	57	12	5	5
110	75	52	9	11.5	10
215	86	58	12	3	5
175	79	47	9	14.5	7
99	62	39	8	17	10
144	80	48	13	15.5	10
98	74	46	11	12.5	10
135	72	46	8	10	5
140	78	46	9	10.5	10
205	88	59	9	9	10
145	84	53	10	15.5	15
150	86	53	9	11.5	1
110	59	38	8	14.5	5
285	90	57	7	3	3
98	54	36	5	3.5	12
135	80	45	13	12.5	5
95	54	38	6	10.5	5
150	80	48	13	14.5	10
105	72	43	10	12	10
105	65	39	8	12	5
105	53	39	5	3.5	7
125	67	46	8	12.5	15
95	65	45	7	14.5	12
115	77	51	7	5	5
110	65	45	11	7	7
143	93	57	9	10.5	5
165	77	44	10	8	10
168	75	46	10	6.5	1
96	60	38	6	12	5
180	88	55	11	6	3
105	74	45	10	13	10
81	53	34	6	13	15
87	58	37	7	13.5	15
177	103	54	11	9	5
119	80	51	8	11.5	15
120	81	48	8	13	7
132	88	63	8	8	5
85	59	38	6	13.5	10
140	74	45	10	12.5	2
90	60	43	6	13.5	5
455	192	92	18	7.5	5
194	105	58	11	9	5
170	65	45	7	7.5	2
100	57	40	6	8	5
140	80	51	10	13.5	10
160	101	51	15	7	7
130	83	48	9	12.7	5
185	66	44	6	9	3
120	84	45	11	7	10
360	103	80	14	3	3
99	63	43	9	13.5	7
120	60	37	8	12	8
118	63	37	8	14.5	5
130	96	57	9	7.5	5
113	76	46	10	13	7
107	67	41	9	12.5	10
134	69	47	8	5	10
110	86	53	9	10.5	5
170	100	57	10	13.5	15
100	77	41	10	12.7	10
90	61	45	6	13.5	15
108	75	50	10	12	3
105	83	48	9	13	15
88	51	34	6	14.5	10
80	60	44	6	13.5	5
130	75	48	13	12.7	5
170	53	33	9	3	10
220	83	53	9	4.5	5
104	72	46	11	12.5	10
105	68	46	8	15.5	10
165	90	58	11	4.5	7
130	77	53	9	7	8
167	74	43	10	14.5	5
114	75	54	7	12	7
113	54	34	11	3	10
145	76	48	9	13.5	10
112	63	45	7	13.5	7
106	83	44	10	12	10
105	77	54	8	10.5	12
107	68	46	8	10.5	10
130	81	56	9	6	7
94	65	40	8	14.5	15
105	78	44	10	13	15
240	105	55	23	10	5
150	97	63	11	10	7
87	63	42	7	13.5	7
116	77	45	10	6	7
105	66	44	7	13.5	10
150	76	45	10	7	10
95	60	44	6	12	10
82	59	45	6	10	7
210	94	59	11	12.7	2
150	85	61	8	12	7
179	77	43	10	8	10
75	55	36	6	14.5	7
185	108	65	12	13.5	10
120	76	51	9	13.5	5
100	79	51	10	13.5	10
158	78	49	14	9	4
155	74	43	10	9	5
139	68	46	8	9	5
140	78	45	10	12	2
115	76	54	9	13	5
94	64	43	9	12	7
180	72	45	10	3	3
340	125	70	18	7	10
100	78	44	9	13.5	20
77	60	44	6	13	15
102	74	43	10	17	12
135	68	32	13	3	10
108	58	41	6	9	3
134	83	44	10	13	10
103	76	45	10	13	5
135	82	48	9	10.5	10
85	57	42	6	7.5	15
78	52	34	6	13	15
113	78	44	10	12	10
140	68	44	10	5	7
125	78	53	8	8	10
86	55	40	5	7	2
130	80	38	11	12.7	10
117	77	44	10	17	3
135	75	46	10	11	10
120	80	45	13	12	10
116	76	45	10	7	10
131	74	42	10	13.5	10
230	92	60	14	9	10
76	53	39	6	12	10
108	78	46	10	12.7	10
140	74	53	8	11	5
110	60	41	6	12	10
90	60	43	6	12	5
136	78	48	9	12.5	15
126	84	56	9	3.5	4
120	65	44	8	9	5
93	63	40	8	11	12
260	110	56	15	12.5	3
152	95	62	10	12.7	5
185	80	45	13	12	5
145	75	46	10	7	10
77	61	45	6	13.5	5
106	68	47	8	13.5	7
102	76	46	10	12	15
128	78	54	9	6.5	5
75	51	36	6	17	5
89	60	44	6	10.5	3
135	81	53	8	11.5	4
90	55	37	6	7.5	7
135	76	44	9	5	7
108	73	51	8	12.5	15
114	79	45	13	14.5	7
95	64	39	8	12.5	10
230	109	58	18	12.7	2
128	72	53	8	3	10
168	104	60	16	12	10
85	57	37	5	12	7
170	80	50	8	9	15
87	56	35	6	12	7
190	87	62	10	4.5	5
154	72	42	11	6.5	5
129	69	42	9	14.5	15
80	61	44	7	12	5
89	60	45	6	13.5	10
112	77	45	10	10	7
160	93	57	12	12.7	5
118	83	44	10	12.7	10
115	75	47	10	13	10
165	84	57	9	10.5	7
90	57	40	5	13.5	10
160	82	54	8	9	7
97	55	35	6	9	7
165	74	41	9	6.5	5
162	90	53	13	10	7
212	119	70	17	9	5
190	72	46	10	9	5
120	80	52	14	12	7
94	61	38	9	12	5
145	73	43	11	9	10
73	53	34	6	7.5	3
90	60	40	7	13.5	9
79	54	35	5	12.5	10
82	61	40	6	13.5	10
140	83	53	12	12	15
105	77	45	10	14.5	10
97	56	43	5	6.5	7
280	145	66	16	12.7	3
92	59	41	6	11	10
80	58	38	7	13.5	5
110	65	45	7	13.5	7
160	98	52	12	10	7
120	77	45	10	13.5	5
165	100	54	12	6.5	3
147	111	65	16	14.5	6
96	60	45	6	15.5	5
75	65	45	7	14.5	10
125	90	54	8	12	15
125	80	47	10	12	15
87	64	45	9	15.5	12
115	76	45	11	12	5
200	100	66	21	9	15
115	84	53	12	12.7	15
120	64	46	6	7	3
107	64	44	9	15.5	5
112	60	39	6	3.5	3
94	60	44	6	15.5	5
115	64	45	7	13.5	5
110	66	45	10	11.5	10
107	75	53	9	11.5	10
77	60	43	6	12	6
96	65	45	7	12.5	15
118	78	46	10	13.5	10
95	66	44	10	14.5	7
123	77	45	10	17	7
110	70	40	6	12	2
162	90	61	10	10.5	3
85	58	45	6	10	3
113	70	50	9	6	10
125	80	45	13	12	5
78	52	35	6	12	10
109	75	45	10	13.5	5
230	110	52	17	11.5	5
85	59	42	6	10.5	7
125	76	45	10	13.5	10
130	73	41	10	12	5
80	58	38	6	7	10
200	102	73	10	9	7
73	51	34	6	12	7
94	61	44	6	12.5	3
134	84	52	8	12	7
140	76	44	10	12.5	5
108	66	44	9	12	5
94	65	45	7	17	10
130	56	40	5	3.5	10
92	66	44	9	11.5	7
155	85	47	11	12.7	5
108	81	48	8	13	15
108	66	43	7	17	2
135	76	50	8	10.5	15
135	77	50	8	10.5	10
100	57	43	5	11.5	10
170	75	48	7	7.5	3
87	61	43	6	12	15
94	62	38	8	17	3
115	61	42	5	3.5	10
223	63	38	7	7.5	3
160	80	51	8	3	10
138	66	44	9	4.5	2
125	77	40	11	13	10
120	68	47	8	12.5	5
85	60	43	10	13	7
113	91	52	9	6.5	10
115	69	46	6	12	5
95	75	43	11	14.5	10
125	83	48	9	12	3
109	66	46	8	15.5	5
167	113	64	13	14.5	5
190	77	54	9	9	5
158	88	61	9	10.5	15
151	102	70	9	10.5	12
160	77	48	8	12	7
87	56	37	6	7	7
87	58	45	5	10	3
95	76	45	10	14.5	10
170	102	58	12	13	5
110	75	53	10	10.5	15
180	83	53	8	10.5	5
178	80	54	9	3	5
92	60	44	6	12.5	15
149	95	57	8	10.5	15
95	61	43	6	14.5	5
130	67	46	7	9	5
92	63	38	8	12	10
96	60	45	6	12	10
93	59	38	6	13.5	7
103	64	40	8	10.5	10
112	79	47	10	17	10
94	63	38	8	17	12
156	70	48	7	9	2
82	54	35	6	9	10
185	78	53	8	7.5	15
98	60	44	6	14.5	15
113	80	48	8	12	10
175	83	55	9	3	15
99	65	44	7	10.5	5
87	63	45	6	10	10
73	51	34	6	13.5	10
220	148	85	14	14.5	7
185	76	43	10	8	10
150	85	57	10	9	7
115	75	42	8	12	15
155	72	52	7	3	5
125	83	48	9	12	3
113	85	53	12	12.7	10
105	66	46	11	12	7
130	72	44	10	6	5
250	100	50	15	12.7	5
97	76	45	10	12	10
165	69	47	7	4.5	5
161	108	60	13	14.5	10
110	77	46	9	15.5	3
145	90	52	9	12	15
470	146	86	16	14.5	5
113	75	45	10	13	10
260	107	58	14	13	1
200	71	46	8	4.5	5
100	75	45	10	13	5
170	82	52	15	5	1
163	115	66	15	13.5	10
136	74	45	10	10	15
89	59	38	6	12	15
125	76	45	10	15.5	10
260	110	71	18	4.5	7
123	66	43	8	10	5
115	80	48	12	12.7	5
129	66	44	9	9	15
104	72	48	9	10.5	10
89	79	52	10	15.5	10
145	71	43	8	9	5
100	75	45	10	12	10
135	72	45	10	14.5	2
93	59	44	5	14.5	10
87	58	38	6	12	15
138	66	44	14	4.5	2
108	66	42	6	3.5	3
85	61	45	6	13.5	15
109	79	45	13	14.5	5
180	81	53	9	8	7
80	56	37	6	12	10
185	75	48	10	7	3
110	71	43	10	14.5	20
87	59	44	6	13.5	10
108	64	43	9	3.5	10
112	74	44	11	12.7	10
103	70	44	10	15.5	7
128	83	44	10	7	2
107	67	46	8	13.5	7
120	75	45	10	14.5	10
83	55	38	7	11	10
100	60	39	9	15.5	10
127	79	46	10	17	5
80	59	39	6	8	15
210	71	45	15	9	1
74	51	35	6	13.5	10
155	77	50	8	8	5
138	69	45	9	4.5	5
130	60	42	7	9	10
144	66	45	8	9	7
102	58	41	6	11	5
89	58	42	6	9	10
116	85	45	10	12	15
105	78	54	9	11	10
89	64	39	8	14.5	5
128	85	52	10	14.5	10
150	84	48	10	13.5	10
120	68	45	8	10.5	5
105	68	41	8	17	5
165	74	46	10	5	10
110	76	45	10	14.5	10
75	51	34	6	14.5	7
92	60	45	6	15.5	5
129	99	55	11	10.5	15
105	55	40	6	9	7
80	50	34	6	11.5	10
132	78	46	10	12.5	12
105	75	42	8	13.5	10
92	68	44	10	10.5	10
101	65	44	8	11.5	7
81	54	36	6	10	10
140	68	47	8	9	5
140	82	61	6	3.5	7
118	74	52	9	7.5	7
127	82	50	10	10.5	7
112	74	52	7	11	5
160	80	52	9	7.5	7
130	78	46	11	13.5	10
125	77	44	10	14.5	7
82	70	40	8	17	7
158	78	51	8	9	7
140	75	40	11	13	5
270	105	74	10	5	1
110	67	45	8	13.5	5
120	64	43	7	9	5
730	134	102	10	9	10
100	77	45	8	12	15
77	59	38	6	12	10
130	79	44	10	13.5	10
150	71	44	9	8	5
176	104	55	11	9	5
87	60	43	6	12	5
79	57	43	6	10.5	10
156	79	54	8	9	10
185	79	47	10	3	3
102	65	44	7	15.5	5
200	88	60	7	3	5
90	66	43	9	15.5	10
310	100	62	17	4.5	15
155	60	40	8	7.5	5
130	70	45	9	10.5	15
122	75	46	11	13.5	15
210	79	53	8	7	5
83	52	34	6	14.5	10
90	63	44	6	17	5
95	63	39	8	17	1
78	56	39	6	12	5
115	74	45	10	12.7	15
110	67	41	9	13.5	10
86	58	38	6	11.5	7
107	57	41	6	12.5	10
80	60	45	6	13.5	5
93	58	42	6	12	5
98	64	43	7	12	15
230	80	46	13	5	4
95	72	43	12	12.7	7
170	106	64	13	12	15
170	79	50	9	4.5	2
140	68	46	7	9	10
200	100	60	12	7	7
82	60	41	6	11.5	5
130	76	46	11	13	5
87	60	43	6	13.5	10
99	60	44	6	12.5	10
100	72	42	10	14.5	20
93	59	39	6	15.5	10
83	56	37	6	10	15
138	79	47	10	7	10
133	85	50	9	12	10
135	79	45	13	15.5	7
150	76	50	8	9	7
170	80	46	10	10	5
110	57	40	5	7.5	7
105	64	40	7	7	10
110	71	44	8	15.5	7
95	65	46	8	13.5	7
115	57	38	8	12	5
150	78	46	10	9	10
190	73	41	11	3.5	1
75	55	39	6	10	10
125	78	45	10	12	7
114	74	44	11	12.7	10
97	68	46	8	12	5
95	72	44	10	12.7	10
130	79	45	10	12	5
94	64	45	7	14.5	3
160	80	54	9	9	10
180	91	58	8	11	2
100	65	39	8	14.5	10
105	65	40	7	17	10
110	75	45	10	12.7	10
108	69	36	9	12.5	5
92	57	40	6	12.5	2
92	61	44	6	12.5	5
181	86	51	11	10.5	10
128	57	38	6	9	5
120	77	51	12	4.5	7
299	100	75	12	6.5	5
105	76	40	11	12.7	5
95	77	45	10	13	5
92	58	42	6	13.5	7
120	65	38	7	11	10
85	56	42	6	12	10
99	58	39	7	7.5	5
105	61	38	8	17	5
128	77	47	12	11	7
114	75	45	10	12.7	15
135	72	49	8	8	5
163	73	48	9	7.5	5
160	80	51	13	7.5	5
85	67	46	6	12	15
85	60	38	6	17	7
145	81	43	10	17	3
110	68	45	6	12.5	10
460	153	84	18	9	5
98	58	42	6	12	10
100	83	53	10	12	15
117	85	44	10	12	10
80	58	43	5	7	7
108	76	45	10	12	10
91	60	45	6	10.5	5
145	74	43	10	12.5	10
108	56	41	6	3.5	5
78	51	33	6	7	7
82	60	42	6	12.5	10
143	80	47	9	12.5	3
227	104	54	10	10.5	8
120	64	43	6	11.5	2
105	53	36	5	7.5	10
105	72	43	10	13	10
83	55	37	6	12	5
95	65	45	7	15.5	7
