coef;guild;merchantid
0,62;Гильдия Августовских Торговцев;41109743
0,48;Гильдия Гончаров;97071095
0,88;Гильдия Августовских Торговцев;56908678
0,12;Ассоциация Оливковых Торговцев;104716656
0,43;Братство Кузнецов;104679893
0,36;Гильдия Августовских Торговцев;92829762
0,25;Братство Кузнецов;97771991
0,57;Гильдия Пекарей;97769628
0,86;Союз Скотоводов;106967305
0,64;Ассоциация Оливковых Торговцев;104593882
0,35;Гильдия Августовских Торговцев;108011751
0,91;Ассоциация Оливковых Торговцев;100081123
0,25;Ассоциация Оливковых Торговцев;104558917
0,28;Гильдия Гончаров;105149054
0,49;Гильдия Гончаров;104671807
0,64;Объединение Рыбаков;304619895
0,23;Гильдия Гончаров;39590863
0,11;Ассоциация Оливковых Торговцев;301561509
0,29;Ассоциация Оливковых Торговцев;92725909
0,62;Лига Стеклодувов;104516152
0,99;Гильдия Августовских Торговцев;39578352
0,59;Ассоциация Оливковых Торговцев;39478332
1;Гильдия Гончаров;104479653
0,54;Гильдия Пекарей;305060873
0,65;Ассоциация Оливковых Торговцев;104476201
0,44;Гильдия Августовских Торговцев;106209176
0,21;Ассоциация Оливковых Торговцев;97743647
0,05;Гильдия Пекарей;104955125
0,32;Гильдия Мукомолов;104439294
0,24;Гильдия Августовских Торговцев;97690798
0,37;Гильдия Гончаров;31585511
0,23;Гильдия Пекарей;38955614
0,77;Гильдия Гончаров;38842053
0,19;Гильдия Августовских Торговцев;38794814
0,17;Гильдия Гончаров;100117168
0,63;Ассоциация Оливковых Торговцев;304209125
0,37;Гильдия Гончаров;97673279
0,12;Гильдия Гончаров;4281638
0,13;Ассоциация Оливковых Торговцев;104365779
0,39;Гильдия Пекарей;92516908
0,16;Гильдия Гончаров;98141376
0,89;Гильдия Гончаров;106855258
0,76;Гильдия Пекарей;104350512
0,68;Гильдия Августовских Торговцев;301977043
0,32;Ассоциация Оливковых Торговцев;104348740
0,23;Ассоциация Оливковых Торговцев;7910240
0,13;Гильдия Августовских Торговцев;92198158
0,14;Братство Кузнецов;105282413
0,66;Ассоциация Оливковых Торговцев;7898401
0,78;Гильдия Гончаров;104448267
0,68;Гильдия Пекарей;7896841
0,94;Гильдия Гончаров;7895244
0,78;Ассоциация Оливковых Торговцев;7891999
0,42;Братство Кузнецов;97646182
0,25;Ассоциация Оливковых Торговцев;104321729
0,26;Гильдия Пекарей;104293998
0,58;Ассоциация Оливковых Торговцев;44177380
0,98;Гильдия Гончаров;37928327
0,06;Гильдия Августовских Торговцев;97621484
0,96;Гильдия Гончаров;105182987
0,14;Гильдия Августовских Торговцев;97614298
0,67;Ассоциация Оливковых Торговцев;103053934
0,23;Гильдия Гончаров;97592819
0,93;Гильдия Августовских Торговцев;2858078
0,31;Гильдия Гончаров;37668282
0,16;Гильдия Гончаров;37509802
0,29;Ассоциация Оливковых Торговцев;97552525
0,34;Гильдия Пекарей;32328475
0,94;Гильдия Гончаров;37363591
0,11;Гильдия Пекарей;7755694
0,19;Гильдия Гончаров;97415556
0,92;Гильдия Гончаров;97386320
0,07;Гильдия Пекарей;97364848
0,44;Гильдия Гончаров;104225615
0,11;Союз Скотоводов;99592798
0,86;Ассоциация Оливковых Торговцев;302403555
0,36;Гильдия Августовских Торговцев;37015787
0,89;Ассоциация Оливковых Торговцев;781376
0,81;Братство Виноделов;304172739
0,46;Союз Скотоводов;97287766
0,54;Гильдия Августовских Торговцев;95634361
0,72;Гильдия Гончаров;97248673
0,85;Ассоциация Оливковых Торговцев;98116290
0,66;Гильдия Пекарей;40427971
0,49;Объединение Рыбаков;107652535
0,48;Гильдия Гончаров;97223567
0,12;Ассоциация Оливковых Торговцев;97204802
0,96;Объединение Рыбаков;57076259
0,47;Ассоциация Оливковых Торговцев;104157156
0,32;Гильдия Пекарей;104148805
0,93;Гильдия Гончаров;104097443
0,14;Гильдия Гончаров;303420803
0,55;Гильдия Пекарей;104059677
0,45;Лига Керамистов;97158691
0,2;Гильдия Августовских Торговцев;50572341
0,47;Гильдия Пекарей;104049629
0,82;Ассоциация Оливковых Торговцев;102796537
0,95;Гильдия Мукомолов;36529670
0,32;Гильдия Гончаров;103945226
0,36;Братство Кузнецов;98016606
0,31;Гильдия Августовских Торговцев;97066391
0,51;Гильдия Августовских Торговцев;103708864
0,42;Лига Керамистов;103917059
0,41;Гильдия Пекарей;85357773
0,41;Гильдия Августовских Торговцев;103877519
0,47;Лига Керамистов;103865494
0,55;Объединение Фруктовых Садовников;96982139
0,31;Гильдия Пекарей;96978898
0,11;Ассоциация Оливковых Торговцев;68058871
0,66;Братство Кузнецов;97375930
0,34;Ассоциация Оливковых Торговцев;103969211
0,45;Ассоциация Оливковых Торговцев;36027175
0,43;Ассоциация Оливковых Торговцев;7598028
0,73;Гильдия Пекарей;9097150
0,07;Гильдия Гончаров;100709356
0,53;Гильдия Августовских Торговцев;102618344
0,7;Ассоциация Оливковых Торговцев;96830523
0,97;Гильдия Пекарей;96760119
0,81;Ассоциация Оливковых Торговцев;7570286
0,12;Братство Кузнецов;97549109
0,2;Гильдия Гончаров;103822125
0,8;Гильдия Гончаров;103599568
0,13;Гильдия Августовских Торговцев;98035957
0,88;Ассоциация Оливковых Торговцев;103818694
0,89;Ассоциация Оливковых Торговцев;98569871
0,44;Ассоциация Оливковых Торговцев;7126193
0,84;Ассоциация Оливковых Торговцев;103542899
0,59;Гильдия Гончаров;96230450
0,19;Ассоциация Оливковых Торговцев;96733321
0,54;Ассоциация Оливковых Торговцев;97270765
0,73;Братство Кузнецов;96732576
0,12;Объединение Рыбаков;96701876
0,85;Гильдия Пекарей;96700455
0,74;Братство Кузнецов;102882902
1;Гильдия Гончаров;66528852
0,85;Объединение Фруктовых Садовников;98481980
0,53;Ассоциация Оливковых Торговцев;96672579
0,26;Гильдия Гончаров;35780165
0,71;Ассоциация Оливковых Торговцев;304787041
0,79;Гильдия Августовских Торговцев;7487784
0,87;Ассоциация Оливковых Торговцев;35695752
0,75;Гильдия Гончаров;35643872
0,25;Союз Каменотесов;98039758
0,67;Гильдия Парфюмеров;96544966
0,43;Ассоциация Оливковых Торговцев;104959245
0,6;Гильдия Гончаров;303189483
0,22;Ассоциация Оливковых Торговцев;62586529
0,97;Гильдия Пекарей;104472160
0,43;Гильдия Гончаров;96541458
0,59;Ассоциация Оливковых Торговцев;105567853
0,1;Гильдия Гончаров;302808593
0,51;Братство Виноделов;103774173
0,14;Братство Кузнецов;103772419
0,29;Ассоциация Оливковых Торговцев;103765917
0,28;Гильдия Гончаров;103761958
0,82;Гильдия Гончаров;99027611
0,38;Гильдия Пекарей;103755239
0,99;Гильдия Пекарей;35468987
0,69;Ассоциация Оливковых Торговцев;7384232
0,81;Гильдия Гончаров;35425883
0,49;Ассоциация Оливковых Торговцев;7379330
0,51;Гильдия Гончаров;7359166
0,65;Ассоциация Оливковых Торговцев;303210603
0,91;Ассоциация Оливковых Торговцев;38863810
0,84;Гильдия Парфюмеров;5763145
0,38;Гильдия Гончаров;7342224
0,35;Гильдия Гончаров;31803969
0,87;Гильдия Пекарей;96427697
0,24;Гильдия Пекарей;103671843
0,94;Гильдия Пекарей;99418215
0,54;Гильдия Гончаров;34964246
0,15;Объединение Рыбаков;51631828
0,29;Гильдия Гончаров;7295902
0,45;Ассоциация Оливковых Торговцев;103920414
0,34;Гильдия Пекарей;7268377
0,11;Гильдия Августовских Торговцев;7267037
0,6;Гильдия Гончаров;34759986
0,79;Гильдия Августовских Торговцев;40343
0,9;Ассоциация Оливковых Торговцев;34709615
0,8;Ассоциация Оливковых Торговцев;96310826
0,95;Ассоциация Оливковых Торговцев;96309593
0,74;Братство Виноделов;96290926
0,28;Гильдия Гончаров;34479642
0,94;Братство Виноделов;94270276
0,05;Объединение Рыбаков;7145473
0,24;Гильдия Августовских Торговцев;107662482
0,48;Ассоциация Оливковых Торговцев;34432293
0,53;Ассоциация Оливковых Торговцев;7533280
0,06;Ассоциация Оливковых Торговцев;105468038
0,28;Гильдия Августовских Торговцев;42481043
0,21;Гильдия Гончаров;103645531
0,12;Гильдия Гончаров;7129329
0,15;Гильдия Гончаров;107601492
0,95;Ассоциация Оливковых Торговцев;96182797
0,15;Гильдия Гончаров;97427246
0,67;Ассоциация Оливковых Торговцев;2163475
0,68;Гильдия Гончаров;67924268
0,29;Ассоциация Оливковых Торговцев;96130555
0,82;Гильдия Августовских Торговцев;67651437
0,91;Гильдия Парфюмеров;67517513
0,54;Гильдия Гончаров;64629415
0,71;Гильдия Пекарей;34322629
0,79;Ассоциация Оливковых Торговцев;105655880
0,13;Гильдия Августовских Торговцев;37236597
0,12;Братство Кузнецов;67444090
0,15;Гильдия Пекарей;102952003
0,76;Ассоциация Оливковых Торговцев;96097583
0,93;Гильдия Парфюмеров;96083084
0,1;Ассоциация Оливковых Торговцев;104510234
0,63;Ассоциация Оливковых Торговцев;96070089
0,95;Гильдия Гончаров;99320711
0,67;Гильдия Августовских Торговцев;96047245
0,08;Ассоциация Оливковых Торговцев;103607872
0,95;Гильдия Обработчиков Шерсти;103604711
0,55;Гильдия Гончаров;50319169
0,1;Ассоциация Оливковых Торговцев;92393777
0,38;Ассоциация Оливковых Торговцев;6992188
0,97;Гильдия Гончаров;6817268
0,76;Ассоциация Оливковых Торговцев;96007086
0,44;Гильдия Гончаров;41645016
0,38;Гильдия Августовских Торговцев;66564356
0,26;Гильдия Августовских Торговцев;6724052
0,3;Гильдия Пекарей;65944033
0,34;Братство Кузнецов;107417903
0,31;Гильдия Гончаров;6481764
0,36;Гильдия Гончаров;301811015
0,7;Гильдия Гончаров;6443167
0,13;Гильдия Гончаров;6403068
0,82;Гильдия Августовских Торговцев;96911211
0,35;Ассоциация Оливковых Торговцев;103569104
0,38;Ассоциация Оливковых Торговцев;103542277
0,24;Гильдия Августовских Торговцев;65141091
0,1;Ассоциация Оливковых Торговцев;102182787
0,06;Ассоциация Оливковых Торговцев;8024196
0,57;Гильдия Гончаров;64674577
0,71;Гильдия Пекарей;5984390
0,42;Ассоциация Оливковых Торговцев;103528552
0,23;Ассоциация Оливковых Торговцев;95919935
0,66;Ассоциация Оливковых Торговцев;95913474
0,5;Ассоциация Оливковых Торговцев;303788575
0,98;Общество Ювелиров;103959811
0,05;Гильдия Пекарей;98788858
0,9;Гильдия Гончаров;95899752
0,83;Гильдия Гончаров;5988584
0,07;Ассоциация Оливковых Торговцев;64288808
0,6;Ассоциация Оливковых Торговцев;96646220
0,07;Гильдия Гончаров;64148582
0,5;Объединение Рыбаков;64128380
0,41;Гильдия Парфюмеров;108634904
0,66;Объединение Фруктовых Садовников;64001099
0,73;Гильдия Пекарей;3487085
0,28;Гильдия Гончаров;103971601
0,61;Ассоциация Оливковых Торговцев;104401555
0,54;Ассоциация Оливковых Торговцев;5947741
0,98;Гильдия Пекарей;33417877
0,51;Ассоциация Оливковых Торговцев;104938442
0,25;Братство Кузнецов;63554063
0,53;Гильдия Августовских Торговцев;91711690
0,94;Гильдия Гончаров;63467636
0,42;Ассоциация Оливковых Торговцев;95754519
0,96;Гильдия Парфюмеров;103488107
0,71;Гильдия Августовских Торговцев;89821451
0,11;Ассоциация Оливковых Торговцев;103485449
0,89;Лига Стеклодувов;63058982
0,06;Братство Поставщиков Специй;89944698
0,85;Ассоциация Оливковых Торговцев;98105942
0,26;Братство Кузнецов;95713636
0,77;Гильдия Августовских Торговцев;3043279
0,4;Ассоциация Оливковых Торговцев;62785635
0,86;Гильдия Августовских Торговцев;5712903
0,28;Гильдия Пекарей;62562822
0,62;Ассоциация Оливковых Торговцев;99522684
0,35;Гильдия Пекарей;92975752
0,54;Гильдия Гончаров;6741473
0,8;Гильдия Гончаров;92971488
0,43;Гильдия Гончаров;105754467
0,12;Ассоциация Оливковых Торговцев;62533185
0,28;Гильдия Августовских Торговцев;92942144
0,2;Гильдия Пекарей;95529966
0,88;Гильдия Августовских Торговцев;92733697
0,14;Гильдия Пекарей;92731121
0,54;Братство Поставщиков Специй;35804045
0,21;Гильдия Гончаров;5596790
0,27;Гильдия Гончаров;5588023
0,93;Ассоциация Оливковых Торговцев;95510822
0,59;Гильдия Гончаров;73146122
0,77;Ассоциация Оливковых Торговцев;92684422
0,92;Ассоциация Оливковых Торговцев;99454312
0,39;Лига Керамистов;90303341
0,41;Гильдия Парфюмеров;61803047
0,97;Гильдия Пекарей;103601098
0,91;Гильдия Гончаров;5495791
0,68;Гильдия Пекарей;100114245
0,41;Братство Кузнецов;88577039
0,26;Лига Керамистов;103371696
0,47;Гильдия Гончаров;97540635
0,42;Ассоциация Оливковых Торговцев;105014061
0,34;Ассоциация Оливковых Торговцев;62577514
0,77;Гильдия Пекарей;76584611
0,69;Гильдия Гончаров;103364894
0,62;Гильдия Гончаров;97597858
0,1;Ассоциация Оливковых Торговцев;95443505
0,67;Гильдия Пекарей;107506619
0,26;Гильдия Пекарей;103307486
0,08;Ассоциация Оливковых Торговцев;103297560
0,67;Ассоциация Оливковых Торговцев;305211289
0,58;Ассоциация Оливковых Торговцев;92618570
0,87;Лига Стеклодувов;7845888
0,91;Гильдия Парфюмеров;105913558
0,88;Гильдия Гончаров;92595484
0,24;Гильдия Пекарей;104888976
0,84;Гильдия Гончаров;92595270
0,12;Ассоциация Оливковых Торговцев;61352038
0,43;Ассоциация Оливковых Торговцев;73829845
0,7;Гильдия Гончаров;61258070
0,43;Гильдия Гончаров;97746244
0,77;Союз Каменотесов;92536830
0,39;Ассоциация Оливковых Торговцев;95327735
0,65;Ассоциация Оливковых Торговцев;103487009
0,89;Гильдия Гончаров;104764055
0,09;Объединение Рыбаков;95299190
0,24;Гильдия Августовских Торговцев;60719537
0,3;Ассоциация Оливковых Торговцев;60703185
0,69;Гильдия Пекарей;60692535
0,78;Ассоциация Оливковых Торговцев;99807625
0,14;Братство Поставщиков Специй;33009060
0,55;Гильдия Августовских Торговцев;97711692
0,31;Ассоциация Оливковых Торговцев;108585877
0,72;Ассоциация Оливковых Торговцев;60265419
0,74;Ассоциация Оливковых Торговцев;5336352
0,39;Гильдия Пекарей;92770442
0,99;Гильдия Гончаров;93761118
0,45;Гильдия Августовских Торговцев;103232389
0,41;Гильдия Пекарей;92426409
0,43;Гильдия Августовских Торговцев;92385989
0,27;Братство Кузнецов;304296271
0,07;Гильдия Гончаров;103673163
0,71;Ассоциация Оливковых Торговцев;99158423
0,37;Ассоциация Оливковых Торговцев;92345642
0,47;Ассоциация Оливковых Торговцев;300708909
0,84;Гильдия Пекарей;95172399
0,13;Гильдия Парфюмеров;37996382
0,37;Гильдия Пекарей;56536540
0,76;Ассоциация Оливковых Торговцев;100231866
0,51;Гильдия Пекарей;5176435
0,84;Ассоциация Оливковых Торговцев;300574389
0,8;Ассоциация Оливковых Торговцев;92264081
0,44;Ассоциация Оливковых Торговцев;303735569
0,14;Гильдия Обработчиков Шерсти;103173318
0,75;Гильдия Пекарей;97743894
0,62;Ассоциация Оливковых Торговцев;103777360
0,72;Ассоциация Оливковых Торговцев;49900256
0,49;Ассоциация Оливковых Торговцев;102801004
0,16;Гильдия Пекарей;92211886
0,82;Братство Кузнецов;95141358
0,08;Гильдия Гончаров;87880196
0,27;Гильдия Гончаров;95134991
0,82;Гильдия Гончаров;95114113
0,78;Гильдия Гончаров;103570760
0,21;Ассоциация Оливковых Торговцев;95101869
0,61;Гильдия Гончаров;92199000
0,09;Ассоциация Оливковых Торговцев;103168825
0,54;Ассоциация Оливковых Торговцев;84022067
0,48;Гильдия Гончаров;303645371
0,3;Гильдия Гончаров;103131165
0,67;Союз Скотоводов;103124795
0,83;Гильдия Гончаров;4928277
0,68;Гильдия Августовских Торговцев;91975939
0,54;Братство Кузнецов;103119635
0,15;Гильдия Пекарей;106272231
0,38;Гильдия Августовских Торговцев;103110870
0,42;Ассоциация Оливковых Торговцев;303328129
0,77;Гильдия Гончаров;104188010
0,67;Ассоциация Оливковых Торговцев;106356280
0,76;Гильдия Пекарей;103108438
0,18;Ассоциация Оливковых Торговцев;91091347
0,72;Гильдия Августовских Торговцев;103102597
0,25;Союз Каменотесов;31149011
0,77;Ассоциация Оливковых Торговцев;103091594
0,25;Ассоциация Оливковых Торговцев;107028706
0,09;Ассоциация Оливковых Торговцев;103079407
0,77;Ассоциация Оливковых Торговцев;99241717
0,06;Ассоциация Оливковых Торговцев;62019654
0,16;Гильдия Гончаров;103073733
0,47;Гильдия Гончаров;42534970
0,11;Ассоциация Оливковых Торговцев;94974486
0,13;Ассоциация Оливковых Торговцев;4765628
0,13;Ассоциация Оливковых Торговцев;98634682
0,71;Объединение Рыбаков;303763543
0,25;Братство Кузнецов;103489562
0,34;Гильдия Гончаров;4764619
0,16;Ассоциация Оливковых Торговцев;59094592
0,85;Ассоциация Оливковых Торговцев;103131173
0,71;Гильдия Гончаров;94924190
0,05;Гильдия Пекарей;104548851
0,87;Гильдия Гончаров;32110776
0,64;Гильдия Пекарей;102682475
0,4;Гильдия Августовских Торговцев;103066835
0,14;Гильдия Августовских Торговцев;103060051
0,47;Гильдия Пекарей;58338317
0,37;Ассоциация Оливковых Торговцев;58329720
0,05;Гильдия Августовских Торговцев;104959803
0,14;Гильдия Гончаров;4648249
0,15;Ассоциация Оливковых Торговцев;2274492
0,57;Гильдия Пекарей;103018451
0,29;Братство Кузнецов;103009651
0,56;Братство Кузнецов;102990252
0,83;Ассоциация Оливковых Торговцев;55739532
0,78;Братство Кузнецов;102990188
0,1;Гильдия Гончаров;1517252
0,43;Ассоциация Оливковых Торговцев;102985089
0,89;Гильдия Августовских Торговцев;91781356
0,84;Ассоциация Оливковых Торговцев;48528044
0,09;Братство Кузнецов;94785770
0,56;Гильдия Гончаров;94763382
0,13;Гильдия Пекарей;97697807
0,72;Ассоциация Оливковых Торговцев;305599121
0,81;Ассоциация Оливковых Торговцев;97346467
0,6;Гильдия Гончаров;96745995
0,29;Ассоциация Оливковых Торговцев;57651435
0,26;Ассоциация Оливковых Торговцев;91681262
1;Ассоциация Оливковых Торговцев;104640931
0,08;Гильдия Пекарей;91678390
0,49;Союз Судостроителей;106536876
0,49;Ассоциация Оливковых Торговцев;57636675
0,49;Ассоциация Оливковых Торговцев;303488417
0,58;Гильдия Пекарей;91635591
0,6;Гильдия Пекарей;32328595
0,67;Гильдия Пекарей;66571868
0,67;Гильдия Августовских Торговцев;90706432
0,18;Гильдия Августовских Торговцев;102961110
0,34;Гильдия Гончаров;102954836
0,2;Ассоциация Оливковых Торговцев;100287530
0,77;Гильдия Пекарей;57485841
0,41;Ассоциация Оливковых Торговцев;57424554
0,43;Гильдия Пекарей;85969529
0,25;Гильдия Обработчиков Шерсти;94640050
0,4;Ассоциация Оливковых Торговцев;94628129
0,97;Гильдия Гончаров;33289294
0,34;Гильдия Гончаров;304997779
0,37;Гильдия Пекарей;57303383
0,98;Ассоциация Оливковых Торговцев;104562019
0,41;Ассоциация Оливковых Торговцев;57225342
0,88;Братство Поставщиков Специй;1588278
0,87;Ассоциация Оливковых Торговцев;91426022
0,85;Гильдия Гончаров;107038341
0,33;Ассоциация Оливковых Торговцев;91420513
0,06;Гильдия Обработчиков Шерсти;91400027
0,1;Ассоциация Оливковых Торговцев;102804011
0,46;Ассоциация Оливковых Торговцев;103810632
0,38;Гильдия Августовских Торговцев;91359971
0,96;Ассоциация Оливковых Торговцев;34360531
